Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Argument.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,6,6,1,6,,6,0,0,0,,50,10,19,17,2,21,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,1.11,0,0,0,0
File,"ArgumentCompleter.java",4,4,5,1,17,0,14,2,,,,,2,0,2,20,,20,20,13,20,,0,1,1,18,,453,40,334,110,199,79,,,,170,254,118,136,,,,,,31,31,41,11,,,8,,,,0.24,81,81,100,30
File,"ArgumentCompleterTest.java",1,1,1,1,7,0,7,0,,,,,3,0,0,10,,10,10,4,10,,0,0,0,10,,146,18,112,54,58,16,,,,73,86,44,42,,,,,,1,1,1,1,,,0,,,,0.14,10,10,10,10
File,"Artifact.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,5,3,,0,0,0,3,,53,5,29,13,13,19,,,,18,23,13,10,,,,,,2,2,2,1,,,1,,,,0.66,4,4,4,3
File,"AvailableFeatureCompleter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,31,4,8,5,1,19,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2.38,1,1,1,1
File,"BackingEngine.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,68,10,12,11,0,46,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,3.83,0,0,0,0
File,"BackingEngineFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,37,5,6,5,0,26,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,4.33,0,0,0,0
File,"BackingEngineService.java",2,2,2,2,6,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,47,8,24,10,8,15,,,,10,18,11,7,,,,,,4,4,4,4,,,3,,,,0.63,6,6,6,6
File,"BaseJDBCLockIntegrationTest.java",1,1,1,1,10,1,8,0,,,,,1,1,0,27,,28,27,12,28,,11,0,0,17,,383,73,284,95,170,33,,,,163,208,77,131,,,,,,4,4,4,1,,,2,,,,0.12,37,37,37,27
File,"BaseJDBCLockTest.java",1,1,1,1,16,3,12,0,,,,,1,1,0,15,,16,15,17,16,,1,0,0,15,,334,73,243,73,171,18,,,,196,212,58,154,,,,,,1,1,1,1,,,0,,,,0.07,15,15,15,15
File,"BaseScriptRunner.java",1,1,1,1,5,0,5,0,,,,,2,0,0,6,,7,7,3,7,,0,2,1,4,,70,10,41,19,16,19,,,,19,28,17,11,,,,,,2,2,2,1,,,1,,,,0.46,7,7,7,6
File,"BasicEncryption.java",4,4,5,2,22,0,19,2,,,,,1,3,4,6,,6,3,3,6,,0,0,0,6,,199,16,153,52,104,31,,,,85,110,39,71,,,,,,7,7,10,5,,,2,,,,0.20,26,24,35,13
File,"BasicEncryptionService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,4,9,6,1,14,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,1.56,1,1,1,1
File,"BasicSubShell.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,51,9,25,12,6,17,,,,11,18,12,6,,,,,,1,1,1,1,,,0,,,,0.68,6,6,6,6
File,"BlueprintCommand.java",1,1,1,1,4,0,4,0,,,,,2,0,0,10,,10,10,5,10,,0,0,2,8,,105,17,71,39,19,17,,,,37,52,36,16,,,,,,3,3,3,1,,,1,,,,0.24,14,14,14,10
File,"BlueprintContainerAware.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,4,5,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3.60,0,0,0,0
File,"BlueprintDeploymentListener.java",1,1,2,1,7,0,7,0,,,,,2,0,0,6,,6,6,2,6,,0,0,1,5,,88,11,56,22,27,22,,,,29,41,25,16,,,,,,4,4,6,4,,,3,,,,0.39,11,11,13,9
File,"BlueprintDeploymentListenerTest.java",2,2,3,2,19,0,18,0,,,,,1,0,1,4,,4,4,0,4,,0,0,0,4,,119,11,90,38,59,18,,,,59,73,38,35,,,,,,4,4,5,4,,,3,,,,0.20,10,10,12,10
File,"BlueprintListener.java",1,1,2,1,4,0,4,0,,,,,2,0,1,13,,11,13,10,13,,0,1,0,12,,127,17,89,38,37,21,,,,37,54,29,25,,,,,,8,2,8,1,,,1,,,,0.24,23,17,26,13
File,"BlueprintTransformer.java",4,4,4,1,25,1,23,1,,,,,1,5,3,5,,5,0,0,5,,0,0,3,2,,196,19,154,70,89,23,,,,110,135,73,62,,,,,,8,8,9,1,,,5,,,,0.15,23,23,24,5
File,"BlueprintURLHandler.java",1,1,1,1,7,0,5,1,,,,,2,0,1,5,,5,5,2,5,,0,0,0,5,,93,14,51,28,17,28,,,,29,38,25,13,,,,,,2,2,3,1,,,1,,,,0.55,7,7,8,5
File,"BlueprintURLHandler.java",1,1,1,1,7,0,5,1,,,,,2,0,1,5,,5,5,2,5,,0,0,0,5,,91,14,49,26,17,28,,,,27,36,23,13,,,,,,2,2,3,1,,,1,,,,0.57,7,7,8,5
File,"BooleanCompleterTest.java",1,1,1,1,9,1,6,1,,,,,2,0,0,2,,2,2,2,2,,0,0,0,2,,65,11,34,23,9,20,,,,23,27,20,7,,,,,,1,1,1,1,,,0,,,,0.59,2,2,2,2
File,"Bootstrap.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,31,2,6,3,1,23,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,3.83,1,1,1,1
File,"BootstrapLogManager.java",3,3,3,1,14,1,12,0,,,,,2,2,3,5,,5,3,0,5,,0,1,0,4,,130,17,81,26,43,32,,,,41,58,26,32,,,,,,8,8,8,1,,,3,,,,0.40,15,15,15,5
File,"Branding.java",2,2,2,1,9,0,8,0,,,,,1,3,0,4,,4,1,0,4,,0,1,1,2,,71,9,41,13,22,21,,,,18,28,13,15,,,,,,5,5,5,1,,,2,,,,0.51,9,9,10,4
File,"BrandingHelpProvider.java",3,3,3,2,10,0,10,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,56,7,32,16,13,17,,,,19,25,16,9,,,,,,5,5,5,3,,,2,,,,0.53,6,6,6,4
File,"BundleCommand.java",3,3,5,3,14,1,13,0,,,,,1,0,0,1,,2,2,2,2,,0,0,2,0,,48,7,25,13,9,16,,,,14,18,11,7,,,,,,3,3,5,3,,,1,,,,0.64,3,3,5,3
File,"BundleContextAware.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,4,5,4,0,18,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3.60,0,0,0,0
File,"BundleDumpProvider.java",1,1,1,1,14,1,7,5,,,,,1,0,1,2,,2,2,1,2,,0,0,1,1,,85,12,34,15,16,39,,,,23,28,15,13,,,,,,2,2,2,1,,,1,,,,1.15,3,3,3,2
