DrawingView.java: CH.ifa.draw.framework BufferedUpdateStrategyTest.java: CH.ifa.draw.test.standard 1->2: 14  2->1: 0
AllTests.java: CH.ifa.draw.test.figures AllTests.java: CH.ifa.draw.test.util 1->2: 35  2->1: 35
HTMLTextAreaFigure.java: CH.ifa.draw.contrib.html DisposableResourceHolder.java: CH.ifa.draw.contrib.html 1->2: 7  2->1: 23
TextAreaTool.java: CH.ifa.draw.contrib UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 30
DrawingEditor.java: CH.ifa.draw.framework NullDrawingViewTest.java: CH.ifa.draw.test.standard 1->2: 17  2->1: 0
SplitPaneDesktop.java: CH.ifa.draw.contrib DrawingView.java: CH.ifa.draw.framework 1->2: 0  2->1: 19
DragTracker.java: CH.ifa.draw.standard Undoable.java: CH.ifa.draw.util 1->2: 0  2->1: 14
JHDTestCase.java: CH.ifa.draw.test NestedCreationToolTest.java: CH.ifa.draw.test.contrib 1->2: 13  2->1: 2
TriangleRotationHandle.java: CH.ifa.draw.contrib AbstractHandle.java: CH.ifa.draw.standard 1->2: 53  2->1: 20
OrderedFigureElement.java: CH.ifa.draw.standard CompositeFigure.java: CH.ifa.draw.standard 1->2: 16  2->1: 0
BorderTool.java: CH.ifa.draw.figures UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 16
JHDTestCase.java: CH.ifa.draw.test InsertImageCommandTest.java: CH.ifa.draw.test.figures 1->2: 13  2->1: 2
GroupCommand.java: CH.ifa.draw.figures AbstractCommand.java: CH.ifa.draw.standard 1->2: 5  2->1: 20
OffsetLocator.java: CH.ifa.draw.standard AbstractLocator.java: CH.ifa.draw.standard 1->2: 2  2->1: 12
PolygonFigure.java: CH.ifa.draw.contrib Figure.java: CH.ifa.draw.framework 1->2: 22  2->1: 48
FigureEnumerator.java: CH.ifa.draw.standard CompositeFigure.java: CH.ifa.draw.standard 1->2: 47  2->1: 1
AllTests.java: CH.ifa.draw.test.contrib AllTests.java: CH.ifa.draw.test.util 1->2: 35  2->1: 40
Figure.java: CH.ifa.draw.framework ConnectionFigure.java: CH.ifa.draw.framework 1->2: 11  2->1: 7
