Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AttributePSVImpl.java",1,1,1,1,9,0,4,5,,,,,1,0,0,11,,11,11,10,11,,0,0,0,11,,229,27,64,30,32,138,,,,39,52,30,22,,,,,,2,2,2,1,,,1,,,,2.16,12,12,12,11
File,"Attributes.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,0,0,0,12,,243,36,16,14,0,191,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,11.94,0,0,0,0
File,"AttributesImpl.java",2,2,2,1,10,1,7,1,,,,,2,0,0,25,,25,25,9,25,,0,2,0,23,,418,88,203,64,107,146,,,,98,147,61,86,,,,,,6,6,8,4,,,3,,,,0.72,57,57,64,37
File,"AttributesImpl.java",2,2,2,1,18,0,9,8,,,,,1,0,0,26,,26,26,2,26,,0,2,0,24,,620,77,255,44,132,288,,,,105,166,48,118,,,,,,6,6,7,4,,,2,,,,1.13,60,60,76,41
File,"Augmentations.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,0,0,0,5,,127,15,9,8,0,103,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,11.44,0,0,0,0
File,"AugmentationsImpl.java",1,1,1,1,7,0,5,1,,,,,5,0,1,25,,32,32,6,32,,1,0,0,31,,327,56,175,57,88,96,,,,101,141,63,78,,,,,,4,4,4,3,,,3,,,,0.55,38,38,39,31
File,"BMPattern.java",7,7,7,5,22,0,20,1,,,,,1,0,0,8,,8,8,3,8,,3,0,0,5,,274,13,170,54,130,91,,,,112,163,56,107,,,,,,8,8,9,7,,,4,,,,0.54,56,56,59,44
File,"Base64.java",6,6,8,2,36,6,26,4,,,,,1,7,12,7,,7,0,0,7,,0,0,5,2,,382,61,228,55,187,103,,,,172,212,64,148,,,,,,24,24,24,12,,,3,,,,0.45,44,44,56,20
File,"Base64BinaryDV.java",1,1,1,1,5,0,5,0,,,,,2,0,0,7,,7,7,2,7,,0,0,0,7,,125,8,47,18,21,71,,,,23,38,19,19,,,,,,5,5,5,5,,,2,,,,1.51,13,13,13,11
File,"BaseDVFactory.java",1,1,1,1,31,3,20,8,,,,,1,1,2,6,,6,5,0,6,,1,0,0,5,,278,30,134,64,110,117,,,,115,122,60,62,,,,,,1,1,1,1,,,0,,,,0.87,6,6,6,6
File,"BaseMarkupSerializer.java",3,3,4,1,24,1,17,4,,,,,1,0,0,59,,61,61,20,61,,0,0,23,38,,1892,262,1126,235,670,510,,,,555,758,195,563,,,,,,45,32,56,24,,,5,,,,0.45,216,203,269,96
File,"BasicParserConfiguration.java",1,1,1,1,15,1,7,8,,,,,1,0,8,20,,21,21,7,21,,0,0,6,15,,588,75,194,102,87,340,,,,108,143,81,62,,,,,,8,8,8,1,,,3,,,,1.75,34,34,34,20
File,"BooleanDV.java",2,2,3,1,7,0,6,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,91,8,19,8,10,65,,,,10,15,8,7,,,,,,3,3,5,1,,,1,,,,3.42,4,4,6,2
File,"CDATASection.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,54,2,3,2,0,49,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,16.33,0,0,0,0
File,"CDATASection.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,48,2,3,2,0,43,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,14.33,0,0,0,0
File,"CDATASectionImpl.java",1,1,1,1,5,0,3,2,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,125,11,17,10,4,98,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,5.76,3,3,3,3
File,"CMAny.java",1,1,1,1,7,0,6,0,,,,,1,0,0,9,,9,9,3,9,,4,0,2,3,,190,26,65,18,31,100,,,,26,39,17,22,,,,,,2,2,2,1,,,1,,,,1.54,12,12,12,9
