Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ArrayAccess.java",ArrayAccess.java,1,1,1,1,10,0,5,4,,,,,1,0,0,11,,11,11,2,11,,5,0,0,6,,180,16,68,19,38,96,,,,31,48,19,29,,,,,,3,3,3,1,,,1,,,,1.41,18,18,18,11
File,"ArrayAllocationExpression.java",ArrayAllocationExpression.java,6,6,6,1,25,2,19,3,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,188,28,127,29,75,35,,,,65,101,29,72,,,,,,16,16,16,1,,,3,,,,0.28,36,36,36,6
File,"ArrayBinding.java",ArrayBinding.java,2,2,2,1,7,0,7,0,,,,,1,0,1,14,,14,14,3,14,,1,0,0,13,,155,15,107,30,65,39,,,,65,96,36,60,,,,,,10,10,10,10,,,2,,,,0.36,32,32,32,23
File,"ArrayCreation.java",ArrayCreation.java,1,1,1,1,9,0,5,4,,,,,1,0,0,12,,12,12,3,12,,5,0,0,7,,207,19,71,24,39,117,,,,33,49,22,27,,,,,,3,3,3,1,,,1,,,,1.65,17,17,17,12
File,"ArrayInitializer.java",ArrayInitializer.java,8,7,8,3,30,1,26,2,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,209,18,167,30,119,27,,,,93,133,35,98,,,,,,20,16,21,13,,,5,,,,0.16,49,42,51,18
File,"ArrayInitializer.java",ArrayInitializer.java,1,1,1,1,5,0,3,1,,,,,1,0,0,8,,8,8,1,8,,5,0,0,3,,105,13,37,15,15,55,,,,16,26,14,12,,,,,,2,2,2,1,,,1,,,,1.49,9,9,9,8
File,"ArrayQualifiedTypeReference.java",ArrayQualifiedTypeReference.java,1,1,1,1,5,1,4,0,,,,,1,0,0,7,,7,7,1,7,,0,0,0,7,,66,16,40,12,18,11,,,,21,32,13,19,,,,,,3,3,3,1,,,1,,,,0.28,10,10,10,7
File,"ArrayReference.java",ArrayReference.java,2,2,2,1,16,0,14,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,193,22,153,48,85,19,,,,61,84,23,61,,,,,,4,4,4,1,,,2,,,,0.12,22,22,24,10
File,"ArrayType.java",ArrayType.java,1,1,1,1,10,0,5,4,,,,,1,0,0,11,,11,11,1,11,,5,0,0,6,,174,14,67,20,37,94,,,,29,46,20,26,,,,,,2,2,2,1,,,1,,,,1.40,17,17,17,11
File,"ArrayTypeReference.java",ArrayTypeReference.java,1,1,1,1,7,1,4,1,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,66,15,35,11,15,17,,,,19,29,12,17,,,,,,3,3,3,1,,,1,,,,0.49,9,9,9,6
File,"Assert.java",Assert.java,1,1,1,1,8,0,3,6,,,,,2,6,0,9,,9,3,0,9,,0,1,0,8,,98,2,35,12,12,66,,,,10,24,12,12,,,,,,2,2,2,1,,,1,,,,1.89,12,12,12,9
File,"AssertStatement.java",AssertStatement.java,3,3,4,1,19,2,16,1,,,,,1,0,0,8,,8,8,4,8,,0,0,0,8,,188,32,139,40,89,20,,,,74,103,35,68,,,,,,6,6,7,6,,,3,,,,0.14,28,28,32,13
File,"AssertStatement.java",AssertStatement.java,1,1,1,1,9,0,5,4,,,,,1,0,0,11,,11,11,2,11,,5,0,0,6,,175,17,63,18,35,95,,,,28,43,18,25,,,,,,3,3,3,1,,,1,,,,1.51,16,16,16,11
File,"Assignment.java",Assignment.java,1,1,1,1,10,0,5,5,,,,,2,1,13,16,,16,15,5,16,,5,1,0,10,,326,27,130,59,75,181,,,,61,86,44,42,,,,,,3,3,3,1,,,1,,,,1.39,24,24,24,16
File,"Assignment.java",Assignment.java,1,1,2,1,11,1,8,1,,,,,1,0,0,12,,12,12,2,12,,2,0,0,10,,169,28,110,32,59,35,,,,47,71,24,47,,,,,,4,4,9,4,,,2,,,,0.32,23,23,31,18
File,"AssistOptions.java",AssistOptions.java,14,14,14,8,49,1,44,3,,,,,1,0,12,2,,2,2,10,2,,0,0,0,2,,155,8,127,43,95,32,,,,63,92,33,59,,,,,,27,27,27,15,,,3,,,,0.25,28,28,28,16
File,"AssistParser.java",AssistParser.java,2,2,3,1,15,1,13,1,,,,,1,0,8,64,,73,73,11,73,,0,0,47,26,,1124,80,887,190,611,182,,,,483,660,191,469,,,,,,28,28,33,15,,,4,,,,0.21,186,178,206,114
File,"AstNode.java",AstNode.java,3,3,3,1,9,1,6,1,,,,,1,2,52,12,,13,11,3,13,,0,0,0,13,,234,52,140,73,105,86,,,,98,136,74,62,,,,,,11,11,11,5,,,1,,,,0.61,37,37,44,22
File,"AttributeNamesConstants.java",AttributeNamesConstants.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,9,0,,0,0,0,0,,23,1,12,11,9,10,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0.83,0,0,0,0
File,"BaseTypeBinding.java",BaseTypeBinding.java,6,3,6,4,14,0,13,0,,,,,1,2,0,11,,11,9,2,11,,1,0,0,10,,186,20,148,15,114,19,,,,46,81,15,66,,,,,,29,9,29,16,,,2,,,,0.13,69,34,69,52
