project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer,5.0,5.0,5.0,1.0,14.0,0.0,13.0,0.0,2.0,0.0,0.0,,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,46,1,43,15,30,2,20,36,14,13.0,13.0,14.0,1.0,1.0,3,0.0,0.0,0.05,15,15,16,3,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper,1.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,2.0,1.0,0.0,,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,18,1,17,8,8,3,7,13,7,2.0,2.0,2.0,1.0,1.0,1,33.0,33.0,0.18,5,5,5,3,False
nutch,Public Static Class,org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,18,3,15,6,6,0,6,11,6,2.0,2.0,3.0,1.0,1.0,1,50.0,50.0,0.0,4,4,5,3,False
nutch,Public Class,org.apache.nutch.crawl.CrawlDbReducer,20.0,16.0,22.0,4.0,82.0,5.0,69.0,11.0,2.0,9.0,0.0,,0.0,1.0,3.0,7.0,3.0,3.0,3.0,7.0,3.0,3.0,0.0,0.0,0.0,3.0,278,22,219,30,173,51,111,159,30,57.0,46.0,63.0,11.0,1.0,4,38.0,38.0,0.23,60,49,67,13,False
nutch,Public Class,org.apache.nutch.crawl.DefaultFetchSchedule,2.0,2.0,2.0,1.0,12.0,0.0,12.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,40,1,15,5,7,24,5,8,2,2.0,2.0,2.0,1.0,3.0,1,0.0,0.0,1.6,2,2,2,1,False
nutch,Public Class,org.apache.nutch.crawl.DummyWritable,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,27,4,7,3,1,16,1,4,3,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,2.29,2,2,2,2,False
nutch,Public Class,org.apache.nutch.crawl.FetchScheduleFactory,2.0,2.0,2.0,1.0,9.0,0.0,9.0,1.0,1.0,4.0,0.0,,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,42,3,21,8,14,19,11,16,8,3.0,3.0,3.0,1.0,1.0,2,0.0,0.0,0.9,4,4,4,2,False
nutch,Public Class,org.apache.nutch.crawl.Generator,3.0,3.0,3.0,1.0,30.0,3.0,22.0,4.0,2.0,16.0,0.0,,2.0,16.0,7.0,0.0,9.0,9.0,7.0,0.0,9.0,9.0,0.0,1.0,0.0,8.0,680,87,497,163,345,101,292,388,141,13.0,13.0,14.0,5.0,2.0,3,88.0,33.0,0.2,34,34,35,16,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.CrawlDbUpdater,2.0,2.0,2.0,2.0,10.0,0.0,10.0,0.0,3.0,2.0,0.0,,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,43,4,36,13,20,3,15,23,9,5.0,5.0,5.0,4.0,2.0,3,55.0,55.0,0.08,7,7,7,6,False
nutch,Public Static Class,org.apache.nutch.crawl.Generator.DecreasingFloatComparator,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7,1,5,2,1,1,1,3,2,1.0,1.0,1.0,1.0,2.0,0,0.0,0.0,0.2,1,1,1,1,False
