project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
xerces,Public Class,dom.serialize.TestSerializeDOMOut,2.0,2.0,2.0,1.0,25.0,7.0,15.0,2.0,1.0,7.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,92.0,27.0,49.0,15.0,34.0,16.0,26.0,34.0,14.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.33,7,7,7,3,False
xerces,Public Class,dom.serialize.TestXmlns,3.0,3.0,3.0,1.0,44.0,10.0,28.0,6.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,11.0,30.0,9.0,24.0,12.0,20.0,24.0,9.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.4,3,3,3,1,False
xerces,Public Class,dom.traversal.IteratorView,6.0,6.0,6.0,4.0,64.0,9.0,50.0,4.0,2.0,12.0,0.0,1.0,0.0,6.0,6.0,5.0,20.0,3.0,0.0,0.0,3.0,490.0,79.0,381.0,90.0,297.0,33.0,217.0,271.0,87.0,25.0,25.0,25.0,22.0,2.0,3.0,70.0,56.0,0.09,37,37,37,27,False
xerces,Class,dom.traversal.IteratorView.Errors,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,6.0,50.0,10.0,38.0,13.0,21.0,3.0,16.0,27.0,12.0,4.0,4.0,4.0,3.0,1.0,1.0,42.0,0.0,0.08,10,10,10,9,False
xerces,Anonymous Class,dom.traversal.IteratorView.IteratorView.(Anon_2),2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,2.0,6.0,0.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2,2,2,1,False
xerces,Anonymous Class,dom.traversal.IteratorView.IteratorView.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Anonymous Class,dom.traversal.IteratorView.IteratorView.(Anon_4),1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.25,1,1,1,1,False
xerces,Anonymous Class,dom.traversal.IteratorView.main.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Class,dom.traversal.NameNodeFilter,1.0,1.0,2.0,1.0,7.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,49.0,7.0,23.0,8.0,10.0,19.0,8.0,15.0,8.0,2.0,2.0,6.0,1.0,1.0,1.0,40.0,40.0,0.83,6,6,10,5,False
xerces,Public Class,dom.traversal.TreeWalkerView,6.0,6.0,6.0,4.0,67.0,11.0,52.0,4.0,2.0,12.0,0.0,1.0,0.0,7.0,7.0,6.0,26.0,4.0,0.0,0.0,3.0,586.0,103.0,450.0,107.0,351.0,36.0,268.0,330.0,105.0,30.0,30.0,30.0,26.0,2.0,3.0,73.0,59.0,0.08,45,45,45,34,False
xerces,Class,dom.traversal.TreeWalkerView.Errors,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,6.0,51.0,11.0,38.0,13.0,21.0,3.0,16.0,27.0,12.0,4.0,4.0,4.0,3.0,1.0,1.0,42.0,0.0,0.08,10,10,10,9,False
xerces,Anonymous Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_2),2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,2.0,6.0,0.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2,2,2,1,False
xerces,Anonymous Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_3),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Anonymous Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_4),1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.25,1,1,1,1,False
xerces,Anonymous Class,dom.traversal.TreeWalkerView.main.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
xerces,Public Class,dom.treewalker.TestFirstChild,4.0,3.0,4.0,1.0,40.0,6.0,26.0,7.0,1.0,11.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,191.0,34.0,121.0,32.0,93.0,37.0,55.0,68.0,26.0,12.0,8.0,12.0,1.0,1.0,4.0,75.0,25.0,0.31,16,12,17,4,False
xerces,Public Class,dom.util.Assertion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,False
xerces,Public Class,dom.wrappers.Xerces,1.0,1.0,1.0,1.0,6.0,0.0,5.0,2.0,4.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,0.0,0.0,1.0,8.0,105.0,19.0,51.0,15.0,28.0,44.0,26.0,38.0,13.0,3.0,3.0,3.0,1.0,1.0,2.0,66.0,66.0,0.86,11,11,11,9,False
xerces,Public Class,io.UTF8,7.0,7.0,7.0,1.0,44.0,3.0,37.0,5.0,1.0,2.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,436.0,43.0,316.0,77.0,233.0,86.0,193.0,247.0,86.0,20.0,20.0,20.0,1.0,1.0,2.0,0.0,0.0,0.27,43,43,43,6,False
xerces,Public Static Class,io.UTF8.UTF8Producer,15.0,9.0,15.0,14.0,106.0,6.0,86.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,131.0,12.0,91.0,20.0,64.0,30.0,46.0,56.0,19.0,15.0,9.0,15.0,14.0,2.0,3.0,0.0,0.0,0.33,15,9,15,14,False
xerces,Class,javax.xml.parsers.ConvertToURI,4.0,4.0,6.0,2.0,20.0,2.0,15.0,3.0,1.0,0.0,0.0,16.0,41.0,16.0,16.0,0.0,0.0,0.0,15.0,0.0,1.0,545.0,97.0,302.0,108.0,226.0,166.0,172.0,248.0,102.0,13.0,13.0,18.0,11.0,1.0,4.0,0.0,0.0,0.55,78,78,96,47,False
xerces,Public Abstract Class,javax.xml.parsers.DocumentBuilder,2.0,2.0,2.0,1.0,18.0,1.0,8.0,8.0,1.0,7.0,1.0,0.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,11.0,215.0,30.0,53.0,24.0,21.0,132.0,23.0,34.0,19.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.49,10,10,10,5,False
xerces,Public Abstract Class,javax.xml.parsers.DocumentBuilderFactory,1.0,1.0,1.0,1.0,13.0,0.0,3.0,9.0,1.0,5.0,1.0,1.0,0.0,17.0,17.0,16.0,6.0,0.0,0.0,1.0,16.0,275.0,33.0,64.0,28.0,25.0,178.0,23.0,39.0,24.0,2.0,2.0,2.0,1.0,1.0,1.0,85.0,85.0,2.78,15,15,15,14,False
