project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.ContactsDatabase.updateIndecies.(Anon_3),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.ContactsDatabase.updateIndecies.(Anon_4),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.DatabaseLocator,1.0,1.0,1.0,1.0,7.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,7.0,2.0,1.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.29,1,1,1,1,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.DetachableContactModel,1.0,1.0,1.0,1.0,11.0,0.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0,6.0,16.0,6.0,1.0,0.0,0.0,2.0,4.0,89.0,9.0,54.0,13.0,19.0,26.0,15.0,27.0,10.0,4.0,4.0,4.0,4.0,2.0,1.0,16.0,16.0,0.48,11,11,11,9,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.FormInputModel,1.0,1.0,1.0,1.0,11.0,0.0,6.0,5.0,2.0,3.0,0.0,0.0,1.0,27.0,27.0,27.0,13.0,0.0,0.0,0.0,27.0,409.0,46.0,201.0,52.0,85.0,163.0,66.0,102.0,52.0,5.0,5.0,5.0,1.0,1.0,2.0,88.0,88.0,0.81,32,32,32,27,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.FormInputModel.Line,1.0,1.0,1.0,1.0,8.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,49.0,5.0,22.0,8.0,5.0,22.0,6.0,11.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4,4,4,4,False
wicket,Public Class,org.apache.wicket.threadtest.apps.app1.Home,1.0,1.0,1.0,1.0,29.0,3.0,22.0,4.0,1.0,7.0,0.0,0.0,3.0,3.0,352.0,3.0,1.0,0.0,0.0,0.0,3.0,376.0,48.0,255.0,52.0,145.0,73.0,101.0,134.0,68.0,2.0,2.0,2.0,1.0,5.0,1.0,66.0,66.0,0.29,5,5,5,3,False
wicket,Private Class,org.apache.wicket.threadtest.apps.app1.Home.ActionPanel,1.0,1.0,1.0,1.0,20.0,1.0,13.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,277.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,17.0,3.0,8.0,6.0,5.0,8.0,5.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.35,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.ActionPanel.ActionPanel.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,300.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,False
wicket,Anonymous Class,org.apache.wicket.threadtest.apps.app1.Home.Home.(Anon_11),1.0,1.0,1.0,1.0,21.0,2.0,19.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,322.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,3.0,22.0,1.0,16.0,0.0,11.0,13.0,5.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1,1,1,1,False
