project,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_gc
eclipse.jdt.core,org.eclipse.jdt.core.compiler.CompilationProgress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,85.0,8.0,7.0,6.0,0.0,70.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0,0,0,0,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.InvalidInputException,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,0.0,0.0,,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,38.0,3.0,9.0,4.0,3.0,27.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2,2,2,2,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.ReconcileContext,1.0,1.0,1.0,1.0,17.0,0.0,4.0,13.0,1.0,15.0,0.0,,0.0,0.0,13.0,2.0,13.0,13.0,13.0,2.0,13.0,13.0,0.0,0.0,0.0,13.0,283.0,13.0,60.0,17.0,29.0,210.0,28.0,46.0,17.0,3.0,3.0,4.0,1.0,1.0,2.0,53.0,30.0,3.5,17,17,18,13,False
eclipse.jdt.core,org.eclipse.jdt.core.compiler.batch.BatchCompiler,1.0,1.0,1.0,1.0,18.0,0.0,2.0,15.0,1.0,2.0,0.0,,2.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,81.0,3.0,10.0,4.0,2.0,68.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.8,3,3,3,3,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.AST,1.0,1.0,1.0,1.0,19.0,0.0,7.0,12.0,1.0,128.0,0.0,,7.0,18.0,144.0,12.0,151.0,151.0,144.0,12.0,151.0,151.0,26.0,2.0,0.0,123.0,3412.0,191.0,1103.0,330.0,669.0,2199.0,481.0,733.0,303.0,14.0,14.0,14.0,5.0,1.0,3.0,96.0,95.0,1.99,239,232,240,155,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTConverter,6.0,5.0,7.0,2.0,29.0,0.0,27.0,1.0,1.0,253.0,0.0,,5.0,0.0,194.0,13.0,199.0,199.0,194.0,13.0,199.0,199.0,1.0,39.0,69.0,90.0,6078.0,234.0,5504.0,1136.0,4253.0,388.0,3088.0,4147.0,1200.0,74.0,70.0,86.0,39.0,1.0,7.0,89.0,49.0,0.07,1271,1097,1440,525,True
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTConverter.convertToModuleDeclaration.(Anon_1),3.0,3.0,3.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,3.0,6.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3,3,3,1,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTMatcher,2.0,2.0,3.0,1.0,24.0,0.0,10.0,14.0,1.0,109.0,0.0,,1.0,0.0,107.0,1.0,108.0,108.0,107.0,1.0,108.0,108.0,0.0,3.0,0.0,105.0,2814.0,111.0,1094.0,227.0,717.0,1609.0,365.0,631.0,228.0,11.0,11.0,18.0,11.0,1.0,2.0,98.0,97.0,1.47,283,283,417,181,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTNode,3.0,2.0,3.0,1.0,24.0,0.0,10.0,13.0,1.0,110.0,27.0,,8.0,111.0,60.0,8.0,68.0,68.0,60.0,8.0,68.0,68.0,41.0,1.0,0.0,26.0,3088.0,217.0,934.0,266.0,666.0,1967.0,480.0,646.0,256.0,101.0,10.0,101.0,7.0,1.0,3.0,90.0,88.0,2.11,233,134,239,85,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTNode.NodeList,2.0,2.0,2.0,1.0,17.0,0.0,9.0,7.0,1.0,4.0,0.0,,0.0,0.0,11.0,3.0,11.0,11.0,11.0,3.0,11.0,11.0,5.0,1.0,0.0,5.0,290.0,24.0,136.0,41.0,77.0,135.0,66.0,97.0,35.0,5.0,5.0,5.0,1.0,2.0,1.0,63.0,51.0,0.99,24,24,24,11,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor,1.0,1.0,1.0,1.0,6.0,0.0,4.0,2.0,2.0,1.0,0.0,,0.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0,3.0,46.0,4.0,22.0,10.0,8.0,20.0,7.0,13.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,25.0,25.0,0.91,5,5,5,4,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTParser,4.0,4.0,5.0,1.0,46.0,0.0,21.0,25.0,1.0,61.0,0.0,,1.0,4.0,27.0,15.0,28.0,28.0,27.0,15.0,28.0,28.0,1.0,6.0,0.0,21.0,1483.0,47.0,617.0,120.0,461.0,831.0,288.0,408.0,119.0,32.0,29.0,40.0,6.0,1.0,6.0,80.0,62.0,1.35,128,115,146,36,False
eclipse.jdt.core,org.eclipse.jdt.core.dom.ASTRecoveryPropagator,8.0,5.0,9.0,2.0,24.0,1.0,22.0,0.0,1.0,60.0,0.0,,0.0,1.0,14.0,12.0,14.0,413.0,14.0,12.0,14.0,413.0,1.0,4.0,2.0,7.0,447.0,41.0,384.0,79.0,275.0,22.0,200.0,278.0,86.0,33.0,12.0,36.0,11.0,3.0,5.0,78.0,36.0,0.06,118,77,132,35,False
