UTF8.java: org.apache.hadoop.io TestDFSIO.java: org.apache.hadoop.fs 1->2: 113  2->1: 0
Configuration.java: org.apache.hadoop.conf Path.java: org.apache.hadoop.fs 1->2: 25  2->1: 121
PipeReducer.java: org.apache.hadoop.streaming JobConf.java: org.apache.hadoop.mapred 1->2: 11  2->1: 7
OutputArchive.java: org.apache.hadoop.record RecRecord1.java: org.apache.hadoop.record.test 1->2: 43  2->1: 10
RecordWriter.java: org.apache.hadoop.mapred ReduceTask.java: org.apache.hadoop.mapred 1->2: 9  2->1: 4
FSDirectory.java: org.apache.hadoop.dfs Path.java: org.apache.hadoop.fs 1->2: 0  2->1: 89
WritableComparator.java: org.apache.hadoop.io JobConf.java: org.apache.hadoop.mapred 1->2: 95  2->1: 0
BinaryInputArchive.java: org.apache.hadoop.record RecBuffer.java: org.apache.hadoop.record.test 1->2: 11  2->1: 3
Mapper.java: org.apache.hadoop.mapred TestMapRed.java: org.apache.hadoop.mapred 1->2: 44  2->1: 0
Configuration.java: org.apache.hadoop.conf MapTask.java: org.apache.hadoop.mapred 1->2: 130  2->1: 4
StreamBaseRecordReader.java: org.apache.hadoop.streaming FSDataInputStream.java: org.apache.hadoop.fs 1->2: 12  2->1: 21
NameNode.java: org.apache.hadoop.dfs Server.java: org.apache.hadoop.ipc 1->2: 13  2->1: 65
Configuration.java: org.apache.hadoop.conf Server.java: org.apache.hadoop.ipc 1->2: 147  2->1: 64
LocatedBlock.java: org.apache.hadoop.dfs ClientProtocol.java: org.apache.hadoop.dfs 1->2: 19  2->1: 0
DFSShell.java: org.apache.hadoop.dfs DatanodeInfo.java: org.apache.hadoop.dfs 1->2: 20  2->1: 5
InputFormat.java: org.apache.hadoop.mapred JobConf.java: org.apache.hadoop.mapred 1->2: 5  2->1: 14
Text.java: org.apache.hadoop.io TestText.java: org.apache.hadoop.io 1->2: 202  2->1: 3
FileSystem.java: org.apache.hadoop.fs InputFormat.java: org.apache.hadoop.mapred 1->2: 21  2->1: 0
DataNode.java: org.apache.hadoop.dfs Block.java: org.apache.hadoop.dfs 1->2: 2  2->1: 235
Configuration.java: org.apache.hadoop.conf ClusterTestDFS.java: org.apache.hadoop.dfs 1->2: 88  2->1: 1
RandomWriter.java: org.apache.hadoop.examples ClusterStatus.java: org.apache.hadoop.mapred 1->2: 8  2->1: 29
DataNode.java: org.apache.hadoop.dfs FSNamesystem.java: org.apache.hadoop.dfs 1->2: 68  2->1: 31
Configuration.java: org.apache.hadoop.conf TestSetFile.java: org.apache.hadoop.io 1->2: 20  2->1: 1
JType.java: org.apache.hadoop.record.compiler Rcc.java: org.apache.hadoop.record.compiler.generated 1->2: 12  2->1: 7
StreamBaseRecordReader.java: org.apache.hadoop.streaming JobConf.java: org.apache.hadoop.mapred 1->2: 8  2->1: 21
JobInProgress.java: org.apache.hadoop.mapred JobConf.java: org.apache.hadoop.mapred 1->2: 0  2->1: 64
DistributedFileSystem.java: org.apache.hadoop.dfs Path.java: org.apache.hadoop.fs 1->2: 7  2->1: 485
Path.java: org.apache.hadoop.fs TestSequenceFileInputFilter.java: org.apache.hadoop.mapred 1->2: 37  2->1: 0
Writable.java: org.apache.hadoop.io TaskTrackerStatus.java: org.apache.hadoop.mapred 1->2: 12  2->1: 3
Writable.java: org.apache.hadoop.io TestVersionedWritable.java: org.apache.hadoop.io 1->2: 20  2->1: 0
WritableComparator.java: org.apache.hadoop.io Text.java: org.apache.hadoop.io 1->2: 58  2->1: 23
TaskInProgress.java: org.apache.hadoop.mapred TaskTracker.java: org.apache.hadoop.mapred 1->2: 147  2->1: 31
RandomWriter.java: org.apache.hadoop.examples Path.java: org.apache.hadoop.fs 1->2: 0  2->1: 97
FileSystem.java: org.apache.hadoop.fs JobConf.java: org.apache.hadoop.mapred 1->2: 111  2->1: 2
SequenceFile.java: org.apache.hadoop.io UTF8.java: org.apache.hadoop.io 1->2: 0  2->1: 102
DFSShell.java: org.apache.hadoop.dfs FileUtil.java: org.apache.hadoop.fs 1->2: 50  2->1: 76
FileSystem.java: org.apache.hadoop.fs TestSequenceFile.java: org.apache.hadoop.io 1->2: 110  2->1: 0
JobConf.java: org.apache.hadoop.mapred DistributedFSCheck.java: org.apache.hadoop.fs 1->2: 24  2->1: 0
FSImage.java: org.apache.hadoop.dfs FSDirectory.java: org.apache.hadoop.dfs 1->2: 22  2->1: 27
Configuration.java: org.apache.hadoop.conf TestDFSShellGenericOptions.java: org.apache.hadoop.dfs 1->2: 21  2->1: 0
FileSystem.java: org.apache.hadoop.fs SequenceFileInputFormat.java: org.apache.hadoop.mapred 1->2: 11  2->1: 9
Path.java: org.apache.hadoop.fs TestMapRed.java: org.apache.hadoop.mapred 1->2: 252  2->1: 0
LocalFileSystem.java: org.apache.hadoop.fs Path.java: org.apache.hadoop.fs 1->2: 7  2->1: 322
Grep.java: org.apache.hadoop.examples Path.java: org.apache.hadoop.fs 1->2: 0  2->1: 53
Configuration.java: org.apache.hadoop.conf FSDataOutputStream.java: org.apache.hadoop.fs 1->2: 67  2->1: 0
FileSystem.java: org.apache.hadoop.fs JobClient.java: org.apache.hadoop.mapred 1->2: 88  2->1: 2
CsvOutputArchive.java: org.apache.hadoop.record RecBuffer.java: org.apache.hadoop.record.test 1->2: 12  2->1: 15
JobClient.java: org.apache.hadoop.mapred TestMapRed.java: org.apache.hadoop.mapred 1->2: 39  2->1: 2
Path.java: org.apache.hadoop.fs ReduceTask.java: org.apache.hadoop.mapred 1->2: 35  2->1: 0
ObjectWritable.java: org.apache.hadoop.io RPC.java: org.apache.hadoop.ipc 1->2: 96  2->1: 0
Configuration.java: org.apache.hadoop.conf MiniDFSCluster.java: org.apache.hadoop.dfs 1->2: 43  2->1: 0
DFSFileInfo.java: org.apache.hadoop.dfs Writable.java: org.apache.hadoop.io 1->2: 3  2->1: 12
Configuration.java: org.apache.hadoop.conf MapFile.java: org.apache.hadoop.io 1->2: 179  2->1: 1
MetricValue.java: org.apache.hadoop.metrics.spi MetricsRecordImpl.java: org.apache.hadoop.metrics.spi 1->2: 14  2->1: 0
DistributedFileSystem.java: org.apache.hadoop.dfs UTF8.java: org.apache.hadoop.io 1->2: 5  2->1: 21
Configuration.java: org.apache.hadoop.conf FSDataset.java: org.apache.hadoop.dfs 1->2: 150  2->1: 14
MapTask.java: org.apache.hadoop.mapred RecordReader.java: org.apache.hadoop.mapred 1->2: 1  2->1: 17
MapReduceBase.java: org.apache.hadoop.mapred JobConf.java: org.apache.hadoop.mapred 1->2: 1  2->1: 13
SequenceFile.java: org.apache.hadoop.io CopyFiles.java: org.apache.hadoop.util 1->2: 12  2->1: 16
BinaryOutputArchive.java: org.apache.hadoop.record RecRecord0.java: org.apache.hadoop.record.test 1->2: 12  2->1: 22
TaskTracker.java: org.apache.hadoop.mapred TaskRunner.java: org.apache.hadoop.mapred 1->2: 35  2->1: 128
Writable.java: org.apache.hadoop.io Server.java: org.apache.hadoop.ipc 1->2: 21  2->1: 2
LongWritable.java: org.apache.hadoop.io JobConf.java: org.apache.hadoop.mapred 1->2: 168  2->1: 0
ReduceTask.java: org.apache.hadoop.mapred LocalJobRunner.java: org.apache.hadoop.mapred 1->2: 22  2->1: 0
DataOutputBuffer.java: org.apache.hadoop.io TestVersionedWritable.java: org.apache.hadoop.io 1->2: 20  2->1: 0
DFSFileInfo.java: org.apache.hadoop.dfs Path.java: org.apache.hadoop.fs 1->2: 4  2->1: 28
DataOutputBuffer.java: org.apache.hadoop.io TestUTF8.java: org.apache.hadoop.io 1->2: 17  2->1: 0
PipeMapRed.java: org.apache.hadoop.streaming StreamUtil.java: org.apache.hadoop.streaming 1->2: 0  2->1: 38
Mapper.java: org.apache.hadoop.mapred JobConf.java: org.apache.hadoop.mapred 1->2: 91  2->1: 6
Writable.java: org.apache.hadoop.io JobProfile.java: org.apache.hadoop.mapred 1->2: 10  2->1: 3
Writable.java: org.apache.hadoop.io ReduceTask.java: org.apache.hadoop.mapred 1->2: 12  2->1: 3
FSDataOutputStream.java: org.apache.hadoop.fs SequenceFile.java: org.apache.hadoop.io 1->2: 44  2->1: 0
DFSClient.java: org.apache.hadoop.dfs Path.java: org.apache.hadoop.fs 1->2: 0  2->1: 60
Configuration.java: org.apache.hadoop.conf JobClient.java: org.apache.hadoop.mapred 1->2: 197  2->1: 2
DfsPath.java: org.apache.hadoop.dfs DFSFileInfo.java: org.apache.hadoop.dfs 1->2: 4  2->1: 17
FSDirectory.java: org.apache.hadoop.dfs DFSFileInfo.java: org.apache.hadoop.dfs 1->2: 12  2->1: 31
Writable.java: org.apache.hadoop.io Client.java: org.apache.hadoop.ipc 1->2: 27  2->1: 4
BlockCommand.java: org.apache.hadoop.dfs NameNode.java: org.apache.hadoop.dfs 1->2: 19  2->1: 1
JobConf.java: org.apache.hadoop.mapred TestTextInputFormat.java: org.apache.hadoop.mapred 1->2: 15  2->1: 0
