StandardLayouter.java: org.jhotdraw.contrib	SimpleLayouter.java: org.jhotdraw.contrib	
UndoableHandleTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
UndoableAdapterTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
RedoCommandTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
UndoRedoActivityTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
CommandButtonTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
UndoableToolTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
IconkitTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
StandardVersionControlStrategyTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
PaletteIconTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
UndoableCommandTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
UndoCommandTest.java: org.jhotdraw.test.util	JHDTestCase.java: org.jhotdraw.test	
JDOStorageFormat.java: org.jhotdraw.util	StandardStorageFormat.java: org.jhotdraw.util	
GraphLayout.java: org.jhotdraw.util	FigureChangeAdapter.java: org.jhotdraw.standard	
SerializationStorageFormat.java: org.jhotdraw.util	StandardStorageFormat.java: org.jhotdraw.util	
