GridConstrainer.java: org.jhotdraw.draw EditDrawingPanel.java: org.jhotdraw.draw.action 1->2: 52  2->1: 1
TextHolderFigure.java: org.jhotdraw.draw SVGTextAreaFigure.java: org.jhotdraw.samples.svg.figures 1->2: 55  2->1: 21
HandleMulticaster.java: org.jhotdraw.draw DrawingView.java: org.jhotdraw.draw 1->2: 24  2->1: 6
View.java: org.jhotdraw.app RedoAction.java: org.jhotdraw.app.action 1->2: 21  2->1: 1
FigureEvent.java: org.jhotdraw.draw LabeledLineConnectionFigure.java: org.jhotdraw.draw 1->2: 19  2->1: 19
ConnectionFigure.java: org.jhotdraw.draw BezierFigure.java: org.jhotdraw.draw 1->2: 52  2->1: 15
Drawing.java: org.jhotdraw.draw ODGInputFormat.java: org.jhotdraw.samples.odg.io 1->2: 157  2->1: 3
StdXMLParser.java: net.n3.nanoxml IXMLReader.java: net.n3.nanoxml 1->2: 1  2->1: 201
JPopupButtonBeanInfo.java: org.jhotdraw.gui JPopupButton.java: org.jhotdraw.gui 1->2: 0  2->1: 26
SVGTextAreaFigure.java: org.jhotdraw.samples.svg.figures ImageMapOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 32  2->1: 0
DefaultDrawingView.java: org.jhotdraw.draw DrawingView.java: org.jhotdraw.draw 1->2: 53  2->1: 125
TransformHandleKit.java: org.jhotdraw.draw ODGRectFigure.java: org.jhotdraw.samples.odg.figures 1->2: 3  2->1: 24
DefaultSVGFigureFactory.java: org.jhotdraw.samples.svg.io SVGFigureFactory.java: org.jhotdraw.samples.svg.io 1->2: 15  2->1: 17
LineFigure.java: org.jhotdraw.draw BezierPath.java: org.jhotdraw.geom 1->2: 0  2->1: 21
DefaultSDIApplication.java: org.jhotdraw.app ResourceBundleUtil.java: org.jhotdraw.util 1->2: 15  2->1: 38
Drawing.java: org.jhotdraw.draw ImageMapOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 75  2->1: 0
GroupAction.java: org.jhotdraw.draw.action DrawingPanel.java: org.jhotdraw.samples.draw 1->2: 4  2->1: 13
Figure.java: org.jhotdraw.draw ImageInputFormat.java: org.jhotdraw.draw 1->2: 20  2->1: 0
BezierControlPointHandle.java: org.jhotdraw.draw Handle.java: org.jhotdraw.draw 1->2: 12  2->1: 20
Figure.java: org.jhotdraw.draw ODGInputFormat.java: org.jhotdraw.samples.odg.io 1->2: 192  2->1: 0
DefaultDrawingView.java: org.jhotdraw.draw DrawingPanel.java: org.jhotdraw.samples.draw 1->2: 14  2->1: 33
AbstractConnectionHandle.java: org.jhotdraw.draw BezierPath.java: org.jhotdraw.geom 1->2: 0  2->1: 181
GridConstrainer.java: org.jhotdraw.draw Constrainer.java: org.jhotdraw.draw 1->2: 18  2->1: 32
ImageInputFormat.java: org.jhotdraw.draw DrawView.java: org.jhotdraw.samples.draw 1->2: 26  2->1: 8
InputFormat.java: org.jhotdraw.draw ImageInputFormat.java: org.jhotdraw.draw 1->2: 28  2->1: 21
CompositeFigure.java: org.jhotdraw.draw LabeledLineConnectionFigure.java: org.jhotdraw.draw 1->2: 114  2->1: 92
Figure.java: org.jhotdraw.draw DragHandle.java: org.jhotdraw.draw 1->2: 19  2->1: 18
ZoomAction.java: org.jhotdraw.draw.action ODGDrawingPanel.java: org.jhotdraw.samples.odg 1->2: 30  2->1: 4
SelectionTool.java: org.jhotdraw.draw DelegationSelectionTool.java: org.jhotdraw.draw 1->2: 39  2->1: 9
Geom.java: org.jhotdraw.geom DoubleStroke.java: org.jhotdraw.geom 1->2: 112  2->1: 0
TeddyView.java: org.jhotdraw.samples.teddy FindDialog.java: org.jhotdraw.samples.teddy 1->2: 56  2->1: 11
