HsqlName.java: org.hsqldb Database.java: org.hsqldb 1->2: 184  2->1: 0
Constraint.java: org.hsqldb Database.java: org.hsqldb 1->2: 196  2->1: 3
Library.java: org.hsqldb Session.java: org.hsqldb 1->2: 17  2->1: 7
ReverseTextCache.java: org.hsqldb TextCache.java: org.hsqldb 1->2: 13  2->1: 13
jdbcConnection.java: org.hsqldb jdbcDatabaseMetaData.java: org.hsqldb 1->2: 98  2->1: 43
TextTable.java: org.hsqldb Node.java: org.hsqldb 1->2: 12  2->1: 32
TextTable.java: org.hsqldb Table.java: org.hsqldb 1->2: 86  2->1: 91
BinaryDatabaseRowInput.java: org.hsqldb DatabaseRowInput.java: org.hsqldb 1->2: 31  2->1: 34
Trace.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 44  2->1: 16
jdbcResultSet.java: org.hsqldb jdbcStatement.java: org.hsqldb 1->2: 97  2->1: 71
jdbcResultSet.java: org.hsqldb Trace.java: org.hsqldb 1->2: 5  2->1: 1331
Trace.java: org.hsqldb Function.java: org.hsqldb 1->2: 37  2->1: 0
jdbcConnection.java: org.hsqldb TestSubselect.java: org.hsqldb.test 1->2: 73  2->1: 2
Column.java: org.hsqldb DatabaseInformation.java: org.hsqldb 1->2: 344  2->1: 0
jdbcDriver.java: org.hsqldb DatabaseManagerSwing.java: org.hsqldb.util 1->2: 7  2->1: 18
Trace.java: org.hsqldb jdbcDatabaseMetaData.java: org.hsqldb 1->2: 1618  2->1: 0
jdbcResultSet.java: org.hsqldb jdbcPreparedStatement.java: org.hsqldb 1->2: 394  2->1: 274
Trace.java: org.hsqldb BinaryServerRowOutput.java: org.hsqldb 1->2: 57  2->1: 0
jdbcConnection.java: org.hsqldb jdbcPreparedStatement.java: org.hsqldb 1->2: 58  2->1: 92
TextTable.java: org.hsqldb Index.java: org.hsqldb 1->2: 21  2->1: 34
TransferSwing.java: org.hsqldb.util ConnectionDialog.java: org.hsqldb.util 1->2: 19  2->1: 32
View.java: org.hsqldb Parser.java: org.hsqldb 1->2: 26  2->1: 0
Trace.java: org.hsqldb Tokenizer.java: org.hsqldb 1->2: 78  2->1: 0
Parser.java: org.hsqldb Select.java: org.hsqldb 1->2: 5  2->1: 38
Node.java: org.hsqldb Log.java: org.hsqldb 1->2: 29  2->1: 5
